"","speaker","dialogue","norm.dialogue","length"
"796","VLADIMIR","Yes yes, we're magicians. but let us persevere in what we have resolved, before we forget. Come on, give me your foot. The other, hog! Higher! Try and walk. Well?","yes yes were magicians but let us persevere in what we have resolved before we forget come on give me your foot the other hog higher try and walk well",30
"797","ESTRAGON","It fits.","it fits",2
"798","VLADIMIR","We'll try and lace it.","well try and lace it",5
"799","ESTRAGON","No no, no laces, no laces!","no no no laces no laces",6
"800","VLADIMIR","You'll be sorry. Let's try the other. Well?","youll be sorry lets try the other well",8
"801","ESTRAGON","It fits too.","it fits too",3
"802","VLADIMIR","They don't hurt you?","they dont hurt you",4
"803","ESTRAGON","Not yet.","not yet",2
"804","VLADIMIR","Then you can keep them.","then you can keep them",5
"805","ESTRAGON","They're too big.","theyre too big",3
"806","VLADIMIR","Perhaps you'll have socks some day.","perhaps youll have socks some day",6
"807","ESTRAGON","True.","true",1
"808","VLADIMIR","Then you'll keep them?","then youll keep them",4
"809","ESTRAGON","That's enough about these boots.","thats enough about these boots",5
"810","VLADIMIR","Yes, but","yes but",2
"811","ESTRAGON","Enough! I suppose I might as well sit down.","enough i suppose i might as well sit down",9
"812","VLADIMIR","That's where you were sitting yesterday evening.","thats where you were sitting yesterday evening",7
"813","ESTRAGON","If I could only sleep.","if i could only sleep",5
"814","VLADIMIR","Yesterday you slept.","yesterday you slept",3
"815","ESTRAGON","I'll try.","ill try",2
"816","VLADIMIR","Wait. bye bye bye bye Bye bye","wait bye bye bye bye bye bye",7
"817","ESTRAGON","Not so loud!","not so loud",3
"818","VLADIMIR","bye bye bye bye Bye bye bye bye Bye bye bye bye Bye bye There there Didi is here don't be afraid","bye bye bye bye bye bye bye bye bye bye bye bye bye bye there there didi is here dont be afraid",22
"819","ESTRAGON","Ah!","ah",1
"820","VLADIMIR","There there it's all over.","there there its all over",5
"821","ESTRAGON","I was falling","i was falling",3
"822","VLADIMIR","It's all over, it's all over.","its all over its all over",6
"823","ESTRAGON","I was on top of a","i was on top of a",6
"824","VLADIMIR","Don't tell me! Come, we'll walk it off.","dont tell me come well walk it off",8
"825","ESTRAGON","That's enough. I'm tired.","thats enough im tired",4
"826","VLADIMIR","You'd rather be stuck there doing nothing?","youd rather be stuck there doing nothing",7
"827","ESTRAGON","Yes.","yes",1
"828","VLADIMIR","Please yourself.","please yourself",2
"829","ESTRAGON","Let's go.","lets go",2
"830","VLADIMIR","We can't.","we cant",2
"831","ESTRAGON","Why not?","why not",2
"832","VLADIMIR","We're waiting for Godot.","were waiting for godot",4
"833","ESTRAGON","Ah! Can you not stay still?","ah can you not stay still",6
"834","VLADIMIR","I'm cold.","im cold",2
"835","ESTRAGON","We came too soon.","we came too soon",4
"836","VLADIMIR","It's always at nightfall.","its always at nightfall",4
"837","ESTRAGON","but night doesn't fall.","but night doesnt fall",4
"838","VLADIMIR","It'll fall all of a sudden, like yesterday.","itll fall all of a sudden like yesterday",8
"839","ESTRAGON","Then it'll be night.","then itll be night",4
"840","VLADIMIR","And we can go.","and we can go",4
"841","ESTRAGON","Then it'll be day again. What'll we do, what'll we do!","then itll be day again whatll we do whatll we do",11
"842","VLADIMIR","Will you stop whining! I've had about my bellyful of your lamentations!","will you stop whining ive had about my bellyful of your lamentations",12
"843","ESTRAGON","I'm going.","im going",2
"844","VLADIMIR","Well!","well",1
"845","ESTRAGON","Farewell.","farewell",1
"846","VLADIMIR","Lucky's hat. I've been here an hour and never saw it. Fine!","luckys hat ive been here an hour and never saw it fine",12
"847","ESTRAGON","You'll never see me again.","youll never see me again",5
"848","VLADIMIR","I knew it was the right place. Now our troubles are over. Must have been a very fine hat. Here.","i knew it was the right place now our troubles are over must have been a very fine hat here",20
"849","ESTRAGON","What?","what",1
"850","VLADIMIR","Hold that. How does it fit me?","hold that how does it fit me",7
"851","ESTRAGON","How would I know?","how would i know",4
"852","VLADIMIR","No, but how do I look in it?","no but how do i look in it",8
"853","ESTRAGON","Hideous.","hideous",1
"854","VLADIMIR","Yes, but not more so than usual?","yes but not more so than usual",7
"855","ESTRAGON","Neither more nor less.","neither more nor less",4
"856","VLADIMIR","Then I can keep it. Mine irked me. How shall I say? It itched me.","then i can keep it mine irked me how shall i say it itched me",15
"857","ESTRAGON","I'm going.","im going",2
"858","VLADIMIR","Will you not play?","will you not play",4
"859","ESTRAGON","Play at what?","play at what",3
"860","VLADIMIR","We could play at Pozzo and Lucky.","we could play at pozzo and lucky",7
"861","ESTRAGON","Never heard of it.","never heard of it",4
"862","VLADIMIR","I'll do Lucky, you do Pozzo. Go on.","ill do lucky you do pozzo go on",8
"863","ESTRAGON","What am I to do?","what am i to do",5
"864","VLADIMIR","Curse me!","curse me",2
"865","ESTRAGON","Naughty!","naughty",1
"866","VLADIMIR","Stronger!","stronger",1
"867","ESTRAGON","Gonococcus! Spirochete!","gonococcus spirochete",2
"868","VLADIMIR","Tell me to think.","tell me to think",4
"869","ESTRAGON","What?","what",1
"870","VLADIMIR","Say, Think, pig!","say think pig",3
"871","ESTRAGON","Think, pig!","think pig",2
"872","VLADIMIR","I can't.","i cant",2
"873","ESTRAGON","That's enough of that.","thats enough of that",4
"874","VLADIMIR","Tell me to dance.","tell me to dance",4
"875","ESTRAGON","I'm going.","im going",2
"876","VLADIMIR","Dance, hog! I can't! Gogo! There you are again at last!","dance hog i cant gogo there you are again at last",11
"877","ESTRAGON","I'm accursed!","im accursed",2
"878","VLADIMIR","Where were you? I thought you were gone for ever.","where were you i thought you were gone for ever",10
"879","ESTRAGON","They're coming!","theyre coming",2
"880","VLADIMIR","Who?","who",1
"881","ESTRAGON","I don't know.","i dont know",3
"882","VLADIMIR","How many?","how many",2
"883","ESTRAGON","I don't know.","i dont know",3
"884","VLADIMIR","It's Godot! At last! Gogo! It's Godot! We're saved! Let's go and meet him! Gogo! Come back! There you are again again!","its godot at last gogo its godot were saved lets go and meet him gogo come back there you are again again",22
"885","ESTRAGON","I'm in hell!","im in hell",3
"886","VLADIMIR","Where were you?","where were you",3
"887","ESTRAGON","They're coming there too!","theyre coming there too",4
"888","VLADIMIR","We're surrounded! Imbecile! There's no way out there. There! Not a soul in sight! Off you go! Quick! You won't? Well I can understand that. Wait till I see. Your only hope left is to disappear.","were surrounded imbecile theres no way out there there not a soul in sight off you go quick you wont well i can understand that wait till i see your only hope left is to disappear",36
"889","ESTRAGON","Where?","where",1
"890","VLADIMIR","behind the tree. Quick! Behind the tree. Decidedly this tree will not have been the slightest use to us.","behind the tree quick behind the tree decidedly this tree will not have been the slightest use to us",19
"891","ESTRAGON","I lost my head. Forgive me. It won't happen again. Tell me what to do.","i lost my head forgive me it wont happen again tell me what to do",15
"892","VLADIMIR","There's nothing to do.","theres nothing to do",4
"893","ESTRAGON","You go and stand there. There, don't move, and watch out. back to back like in the good old days. Do you see anything coming?","you go and stand there there dont move and watch out back to back like in the good old days do you see anything coming",25
"894","VLADIMIR","What?","what",1
"895","ESTRAGON","Do you see anything coming?","do you see anything coming",5
"896","VLADIMIR","No.","no",1
"897","ESTRAGON","Nor I.","nor i",2
"898","VLADIMIR","You must have had a vision.","you must have had a vision",6
"899","ESTRAGON","What?","what",1
"900","VLADIMIR","You must have had a vision.","you must have had a vision",6
"901","ESTRAGON","No need to shout!","no need to shout",4
"902","VLADIMIR and ESTRAGON","Do you","do you",2
"903","VLADIMIR","Oh pardon!","oh pardon",2
"904","ESTRAGON","Carry on.","carry on",2
"905","VLADIMIR","No no, after you.","no no after you",4
"906","ESTRAGON","No no, you first.","no no you first",4
"907","VLADIMIR","I interrupted you.","i interrupted you",3
"908","ESTRAGON","On the contrary.","on the contrary",3
"909","VLADIMIR","Ceremonious ape!","ceremonious ape",2
"910","ESTRAGON","Punctilious pig!","punctilious pig",2
"911","VLADIMIR","Finish your phrase, I tell you!","finish your phrase i tell you",6
"912","ESTRAGON","Finish your own!","finish your own",3
"913","VLADIMIR","Moron!","moron",1
"914","ESTRAGON","That's the idea, let's abuse each other.","thats the idea lets abuse each other",7
"915","VLADIMIR","Moron!","moron",1
"916","ESTRAGON","Vermin!","vermin",1
"917","VLADIMIR","Abortion!","abortion",1
"918","ESTRAGON","Morpion!","morpion",1
"919","VLADIMIR","Sewerrat!","sewerrat",1
"920","ESTRAGON","Curate!","curate",1
"921","VLADIMIR","Cretin!","cretin",1
"922","ESTRAGON","Crritic!","crritic",1
"923","VLADIMIR","Oh!","oh",1
"924","ESTRAGON","Now let's make it up.","now lets make it up",5
"925","VLADIMIR","Gogo!","gogo",1
"926","ESTRAGON","Didi!","didi",1
"927","VLADIMIR","Your hand!","your hand",2
"928","ESTRAGON","Take it!","take it",2
"929","VLADIMIR","Come to my arms!","come to my arms",4
"930","ESTRAGON","Yours arms?","yours arms",2
"931","VLADIMIR","My breast!","my breast",2
"932","ESTRAGON","Off we go!","off we go",3
"933","VLADIMIR","How time flies when one has fun!","how time flies when one has fun",7
"934","ESTRAGON","What do we do now?","what do we do now",5
"935","VLADIMIR","While waiting.","while waiting",2
"936","ESTRAGON","While waiting.","while waiting",2
"937","VLADIMIR","We could do our exercises.","we could do our exercises",5
"938","ESTRAGON","Our movements.","our movements",2
"939","VLADIMIR","Our elevations.","our elevations",2
"940","ESTRAGON","Our relaxations.","our relaxations",2
"941","VLADIMIR","Our elongations.","our elongations",2
"942","ESTRAGON","Our relaxations.","our relaxations",2
"943","VLADIMIR","To warm us up.","to warm us up",4
"944","ESTRAGON","To calm us down.","to calm us down",4
"945","VLADIMIR","Off we go.","off we go",3
"946","ESTRAGON","That's enough. I'm tired.","thats enough im tired",4
"947","VLADIMIR","We're not in shape. What about a little deep breathing?","were not in shape what about a little deep breathing",10
"948","ESTRAGON","I'm tired breathing.","im tired breathing",3
"949","VLADIMIR","You're right. Let's just do the tree, for the balance.","youre right lets just do the tree for the balance",10
"950","ESTRAGON","The tree?","the tree",2
"951","VLADIMIR","Your turn.","your turn",2
"952","ESTRAGON","Do you think God sees me?","do you think god sees me",6
"953","VLADIMIR","You must close your eyes.","you must close your eyes",5
"954","ESTRAGON","God have pity on me!","god have pity on me",5
"955","VLADIMIR","And me?","and me",2
"956","ESTRAGON","On me! On me! Pity! On me!","on me on me pity on me",7
"957","VLADIMIR","Gogo!","gogo",1
"958","VLADIMIR","At last! Reinforcements at last!","at last reinforcements at last",5
"959","VLADIMIR","We were beginning to weaken. Now we're sure to see the evening out.","we were beginning to weaken now were sure to see the evening out",13
"960","VLADIMIR","We are no longer alone, waiting for the night, waiting for Godot, waiting for waiting. All evening we have struggled, unassisted. Now it's over. It's already tomorrow.","we are no longer alone waiting for the night waiting for godot waiting for waiting all evening we have struggled unassisted now its over its already tomorrow",27
"961","ESTRAGON","I knew it was him.","i knew it was him",5
"962","VLADIMIR","Who?","who",1
"963","ESTRAGON","Godot.","godot",1
"964","VLADIMIR","but it's not Godot.","but its not godot",4
"965","ESTRAGON","It's not Godot?","its not godot",3
"966","VLADIMIR","It's not Godot.","its not godot",3
"967","ESTRAGON","Then who is it?","then who is it",4
"968","VLADIMIR","It's Pozzo.","its pozzo",2
"969","ESTRAGON","Let's go.","lets go",2
"970","VLADIMIR","We can't.","we cant",2
"971","ESTRAGON","Why not?","why not",2
"972","VLADIMIR","We're waiting for Godot.","were waiting for godot",4
"973","ESTRAGON","Ah!","ah",1
"974","VLADIMIR","Perhaps he has another bone for you.","perhaps he has another bone for you",7
"975","ESTRAGON","bone?","bone",1
"976","VLADIMIR","Chicken. Do you not remember?","chicken do you not remember",5
"977","ESTRAGON","It was him?","it was him",3
"978","VLADIMIR","Yes.","yes",1
"979","ESTRAGON","Ask him.","ask him",2
"980","VLADIMIR","Perhaps we should help him first.","perhaps we should help him first",6
"981","ESTRAGON","To do what?","to do what",3
"982","VLADIMIR","To get up.","to get up",3
"983","ESTRAGON","He can't get up?","he cant get up",4
"984","VLADIMIR","He wants to get up.","he wants to get up",5
"985","ESTRAGON","Then let him get up.","then let him get up",5
"986","VLADIMIR","He can't.","he cant",2
"987","ESTRAGON","Why not?","why not",2
"988","VLADIMIR","I don't know.","i dont know",3
"989","ESTRAGON","We should ask him for the bone first. Then if he refuses we'll leave him there.","we should ask him for the bone first then if he refuses well leave him there",16
"990","VLADIMIR","You mean we have him at our mercy?","you mean we have him at our mercy",8
"991","ESTRAGON","Yes.","yes",1
"992","VLADIMIR","And that we should subordinate our good offices to certain conditions?","and that we should subordinate our good offices to certain conditions",11
"993","ESTRAGON","What?","what",1
"994","VLADIMIR","That seems intelligent all right. but there's one thing I'm afraid of.","that seems intelligent all right but theres one thing im afraid of",12
"995","VLADIMIR","That Lucky might get going all of a sudden. Then we'd be ballocksed.","that lucky might get going all of a sudden then wed be ballocksed",13
"996","ESTRAGON","Lucky?","lucky",1
"997","VLADIMIR","The one that went for you yesterday.","the one that went for you yesterday",7
"998","ESTRAGON","I tell you there was ten of them.","i tell you there was ten of them",8
"999","VLADIMIR","No, before that, the one that kicked you.","no before that the one that kicked you",8
"1000","ESTRAGON","Is he there?","is he there",3
"1001","VLADIMIR","As large as life. For the moment he is inert. but he might run amuck any minute.","as large as life for the moment he is inert but he might run amuck any minute",17
"1002","VLADIMIR","You mean if we fell on him in his sleep?","you mean if we fell on him in his sleep",10
"1003","ESTRAGON","Yes.","yes",1
"1004","VLADIMIR","That seems a good idea all right. but could we do it? Is he really asleep? No, the best would be to take advantage of Pozzo's calling for help","that seems a good idea all right but could we do it is he really asleep no the best would be to take advantage of pozzos calling for help",29
"1005","ESTRAGON","help ?","help ",1
"1006","VLADIMIR","In anticipation of some tangible return.","in anticipation of some tangible return",6
"1007","ESTRAGON","And suppose he","and suppose he",3
"1008","VLADIMIR","Let us not waste our time in idle discourse! Let us do something, while we have the chance! It is not every day that we are needed. Not indeed that we personally are needed. Others would meet the case equally well, if not better. To all mankind they were addressed, those cries for help still ringing in our ears! but at this place, at this moment of time, all mankind is us, whether we like it or not. Let us make the most of it, before it is too late! Let us represent worthily for once the foul brood to which a cruel fate consigned us! What do you say? It is true that when with folded arms we weigh the pros and cons we are no less a credit to our species. The tiger bounds to the help of his congeners without the least reflection, or else he slinks away into the depths of the thickets. But that is not the question. What are we doing here, is the question. And we are blessed in this, that we happen to know the answer. Yes, in this immense confusion one thing alone is clear. We are waiting for Godot to come","let us not waste our time in idle discourse let us do something while we have the chance it is not every day that we are needed not indeed that we personally are needed others would meet the case equally well if not better to all mankind they were addressed those cries for help still ringing in our ears but at this place at this moment of time all mankind is us whether we like it or not let us make the most of it before it is too late let us represent worthily for once the foul brood to which a cruel fate consigned us what do you say it is true that when with folded arms we weigh the pros and cons we are no less a credit to our species the tiger bounds to the help of his congeners without the least reflection or else he slinks away into the depths of the thickets but that is not the question what are we doing here is the question and we are blessed in this that we happen to know the answer yes in this immense confusion one thing alone is clear we are waiting for godot to come",201
"1009","ESTRAGON","Ah!","ah",1
"1010","ESTRAGON","billions.","billions",1
"1011","VLADIMIR","You think so?","you think so",3
"1012","ESTRAGON","I don't know.","i dont know",3
"1013","VLADIMIR","You may be right.","you may be right",4
"1014","ESTRAGON","We are all born mad. Some remain so.","we are all born mad some remain so",8
"1015","VLADIMIR","I wouldn't go so far as that.","i wouldnt go so far as that",7
"1016","ESTRAGON","You think it's enough?","you think its enough",4
"1017","VLADIMIR","No, I mean so far as to assert that I was weak in the head when I came into the world. but that is not the question.","no i mean so far as to assert that i was weak in the head when i came into the world but that is not the question",27
"1018","ESTRAGON","What's the matter with you all?","whats the matter with you all",6
"1019","VLADIMIR","Help!","help",1
"1020","ESTRAGON","I'm going.","im going",2
"1021","VLADIMIR","Don't leave me! They'll kill me!","dont leave me theyll kill me",6
"1022","ESTRAGON","I'm going.","im going",2
"1023","VLADIMIR","Help me up first, then we'll go together.","help me up first then well go together",8
"1024","ESTRAGON","You promise?","you promise",2
"1025","VLADIMIR","I swear it!","i swear it",3
"1026","ESTRAGON","And we'll never come back?","and well never come back",5
"1027","VLADIMIR","Never!","never",1
"1028","ESTRAGON","We'll go to the Pyrenees.","well go to the pyrenees",5
"1029","VLADIMIR","Wherever you like.","wherever you like",3
"1030","ESTRAGON","I've always wanted to wander in the Pyrenees.","ive always wanted to wander in the pyrenees",8
"1031","VLADIMIR","You'll wander in them.","youll wander in them",4
"1032","ESTRAGON","Who farted?","who farted",2
"1033","VLADIMIR","Pozzo.","pozzo",1
"1034","VLADIMIR","Quick! Give me your hand!","quick give me your hand",5
"1035","ESTRAGON","I'm going. I'm going.","im going im going",4
"1036","VLADIMIR","Well I suppose in the end I'll get up by myself. In the fullness of time.","well i suppose in the end ill get up by myself in the fullness of time",16
"1037","ESTRAGON","What's the matter with you?","whats the matter with you",5
"1038","VLADIMIR","Go to hell.","go to hell",3
"1039","ESTRAGON","Are you staying there?","are you staying there",4
"1040","VLADIMIR","For the time being.","for the time being",4
"1041","ESTRAGON","Come on, get up, you'll catch a chill.","come on get up youll catch a chill",8
"1042","VLADIMIR","Don't worry about me.","dont worry about me",4
"1043","ESTRAGON","Come on, Didi, don't be pigheaded!","come on didi dont be pigheaded",6
"1044","VLADIMIR","Pull!","pull",1
"1045","ESTRAGON","Sweet mother earth!","sweet mother earth",3
"1046","VLADIMIR","Can you get up?","can you get up",4
"1047","ESTRAGON","I don't know.","i dont know",3
"1048","VLADIMIR","Try.","try",1
"1049","ESTRAGON","Not now, not now.","not now not now",4
"1050","ESTRAGON","What about a little snooze?","what about a little snooze",5
"1051","VLADIMIR","Did you hear him? He wants to know what happened!","did you hear him he wants to know what happened",10
"1052","ESTRAGON","Don't mind him. Sleep.","dont mind him sleep",4
"1053","VLADIMIR","Were you asleep?","were you asleep",3
"1054","ESTRAGON","I must have been.","i must have been",4
"1055","VLADIMIR","It's this bastard Pozzo at it again.","its this bastard pozzo at it again",7
"1056","ESTRAGON","Make him stop it. Kick him in the crotch.","make him stop it kick him in the crotch",9
"1057","VLADIMIR","Will you stop it! Crablouse! He's off! He's down!","will you stop it crablouse hes off hes down",9
"1058","ESTRAGON","What do we do now?","what do we do now",5
"1059","VLADIMIR","Perhaps I could crawl to him.","perhaps i could crawl to him",6
"1060","ESTRAGON","Don't leave me!","dont leave me",3
"1061","VLADIMIR","Or I could call to him.","or i could call to him",6
"1062","ESTRAGON","Yes, call to him.","yes call to him",4
"1063","VLADIMIR","Pozzo! Pozzo! No reply.","pozzo pozzo no reply",4
"1064","ESTRAGON","Together.","together",1
"1065","VLADIMIR and ESTRAGON","Pozzo! Pozzo!","pozzo pozzo",2
"1066","VLADIMIR","He moved.","he moved",2
"1067","ESTRAGON","Are you sure his name is Pozzo?","are you sure his name is pozzo",7
"1068","VLADIMIR","Mr. Pozzo! Come back! We won't hurt you!","mr pozzo come back we wont hurt you",8
"1069","ESTRAGON","We might try him with other names.","we might try him with other names",7
"1070","VLADIMIR","I'm afraid he's dying.","im afraid hes dying",4
"1071","ESTRAGON","It'd be amusing.","itd be amusing",3
"1072","VLADIMIR","What'd be amusing?","whatd be amusing",3
"1073","ESTRAGON","To try him with other names, one after the other. It'd pass the time. And we'd be bound to hit on the right one sooner or later.","to try him with other names one after the other itd pass the time and wed be bound to hit on the right one sooner or later",27
"1074","VLADIMIR","I tell you his name is Pozzo.","i tell you his name is pozzo",7
"1075","ESTRAGON","We'll soon see. Abel! Abel!","well soon see abel abel",5
"1076","VLADIMIR","I begin to weary of this motif.","i begin to weary of this motif",7
"1077","ESTRAGON","Perhaps the other is called Cain. Cain! Cain!","perhaps the other is called cain cain cain",8
"1078","VLADIMIR","Where?","where",1
"1079","ESTRAGON","There. In the zenith.","there in the zenith",4
"1080","VLADIMIR","Well? What is there so wonderful about it?","well what is there so wonderful about it",8
"1081","ESTRAGON","Let's pass on now to something else, do you mind?","lets pass on now to something else do you mind",10
"1082","VLADIMIR","I was just going to suggest it.","i was just going to suggest it",7
"1083","ESTRAGON","but to what?","but to what",3
"1084","VLADIMIR","Ah!","ah",1
"1085","ESTRAGON","Suppose we got up to begin with?","suppose we got up to begin with",7
"1086","VLADIMIR","No harm trying.","no harm trying",3
"1087","ESTRAGON","Child's play.","childs play",2
"1088","VLADIMIR","Simple question of willpower.","simple question of willpower",4
"1089","ESTRAGON","And now?","and now",2
"1090","VLADIMIR","We can't.","we cant",2
"1091","ESTRAGON","Why not?","why not",2
"1092","VLADIMIR","We're waiting for Godot.","were waiting for godot",4
"1093","ESTRAGON","Ah! What'll we do, what'll we do!","ah whatll we do whatll we do",7
"1094","ESTRAGON","What does he want?","what does he want",4
"1095","VLADIMIR","He wants to get up.","he wants to get up",5
"1096","ESTRAGON","Then why doesn't he?","then why doesnt he",4
"1097","VLADIMIR","He wants us to help him get up.","he wants us to help him get up",8
"1098","ESTRAGON","Then why don't we? What are we waiting for?","then why dont we what are we waiting for",9
"1099","VLADIMIR","We must hold him. Feeling better?","we must hold him feeling better",6
"1100","VLADIMIR","Since when?","since when",2
"1101","VLADIMIR","No, he means friends of his.","no he means friends of his",6
"1102","ESTRAGON","Well?","well",1
"1103","VLADIMIR","We've proved we are, by helping him.","weve proved we are by helping him",7
"1104","ESTRAGON","Exactly. Would we have helped him if we weren't his friends?","exactly would we have helped him if we werent his friends",11
"1105","VLADIMIR","Possibly.","possibly",1
"1106","ESTRAGON","True.","true",1
"1107","VLADIMIR","Don't let's quibble about that now.","dont lets quibble about that now",6
"1108","VLADIMIR","Damn it, can't you see the man is blind!","damn it cant you see the man is blind",9
"1109","ESTRAGON","Damn it, so he is. So he says.","damn it so he is so he says",8
"1110","ESTRAGON","For the moment.","for the moment",3
"1111","ESTRAGON","That depends what time of year it is.","that depends what time of year it is",8
"1112","VLADIMIR","Impossible.","impossible",1
"1113","ESTRAGON","Perhaps it's the dawn.","perhaps its the dawn",4
"1114","VLADIMIR","Don't be a fool. It's the west over there.","dont be a fool its the west over there",9
"1115","ESTRAGON","How do you know?","how do you know",4
"1116","ESTRAGON","I tell you it's rising.","i tell you its rising",5
"1117","VLADIMIR","It's evening, Sir, it's evening, night is drawing nigh. My friend here would have me doubt it and I must confess he shook me for a moment. but it is not for nothing I have lived through this long day and I can assure you it is very near the end of its repertory. How do you feel now?","its evening sir its evening night is drawing nigh my friend here would have me doubt it and i must confess he shook me for a moment but it is not for nothing i have lived through this long day and i can assure you it is very near the end of its repertory how do you feel now",59
"1118","ESTRAGON","How much longer are we to cart him around? We are not caryatids!","how much longer are we to cart him around we are not caryatids",13
"1119","VLADIMIR","You were saying your sight used to be good, if I heard you right.","you were saying your sight used to be good if i heard you right",14
"1120","VLADIMIR","Let him alone. Can't you see he's thinking of the days when he was happy. that must be unpleasant.","let him alone cant you see hes thinking of the days when he was happy that must be unpleasant",19
"1121","ESTRAGON","We wouldn't know.","we wouldnt know",3
"1122","VLADIMIR","And it came on you all of a sudden?","and it came on you all of a sudden",9
"1123","ESTRAGON","I'm going.","im going",2
"1124","VLADIMIR","The two of you slipped. And fell.","the two of you slipped and fell",7
"1125","ESTRAGON","After what he did to me? Never!","after what he did to me never",7
"1126","ESTRAGON","I'm waiting for Godot.","im waiting for godot",4
"1127","VLADIMIR","What exactly should he do?","what exactly should he do",5
"1128","ESTRAGON","And if he defends himself?","and if he defends himself",5
"1129","ESTRAGON","Don't take your eyes off me.","dont take your eyes off me",6
"1130","VLADIMIR","Make sure he's alive before you start. No point in exerting yourself if he's dead.","make sure hes alive before you start no point in exerting yourself if hes dead",15
"1131","ESTRAGON","He's breathing.","hes breathing",2
"1132","VLADIMIR","Then let him have it.","then let him have it",5
"1133","ESTRAGON","Oh the brute!","oh the brute",3
"1134","VLADIMIR","I felt lonely.","i felt lonely",3
"1135","ESTRAGON","I was dreaming I was happy.","i was dreaming i was happy",6
"1136","VLADIMIR","That passed the time.","that passed the time",4
"1137","ESTRAGON","I was dreaming that","i was dreaming that",4
"1138","VLADIMIR","Don't tell me! I wonder is he really blind.","dont tell me i wonder is he really blind",9
"1139","ESTRAGON","blind? Who?","blind who",2
"1140","VLADIMIR","Pozzo.","pozzo",1
"1141","ESTRAGON","blind?","blind",1
"1142","VLADIMIR","He told us he was blind.","he told us he was blind",6
"1143","ESTRAGON","Well what about it?","well what about it",4
"1144","VLADIMIR","It seemed to me he saw us.","it seemed to me he saw us",7
"1145","ESTRAGON","You dreamt it. Let's go. We can't. Ah! Are you sure it wasn't him?","you dreamt it lets go we cant ah are you sure it wasnt him",14
"1146","VLADIMIR","Who?","who",1
"1147","ESTRAGON","Godot.","godot",1
"1148","VLADIMIR","but who?","but who",2
"1149","ESTRAGON","Pozzo.","pozzo",1
"1150","VLADIMIR","Not at all! Not at all! Not at all!","not at all not at all not at all",9
"1151","ESTRAGON","I suppose I might as well get up. Ow! Didi!","i suppose i might as well get up ow didi",10
"1152","VLADIMIR","I don't know what to think any more.","i dont know what to think any more",8
"1153","ESTRAGON","My feet! Help me!","my feet help me",4
"1154","VLADIMIR","Was I sleeping, while the others suffered? Am I sleeping now? Tomorrow, when I wake, or think I do, what shall I say of today? That with Estragon my friend, at this place, until the fall of night, I waited for Godot? That Pozzo passed, with his carrier, and that he spoke to us? Probably. but in all that what truth will there be? He'll know nothing. He'll tell me about the blows he received and I'll give him a carrot. Astride of a grave and a difficult birth. Down in the hole, lingeringly, the grave digger puts on the forceps. We have time to grow old. The air is full of our cries. But habit is a great deadener. At me too someone is looking, of me too someone is saying, He is sleeping, he knows nothing, let him sleep on. I can't go on! What have I said?","was i sleeping while the others suffered am i sleeping now tomorrow when i wake or think i do what shall i say of today that with estragon my friend at this place until the fall of night i waited for godot that pozzo passed with his carrier and that he spoke to us probably but in all that what truth will there be hell know nothing hell tell me about the blows he received and ill give him a carrot astride of a grave and a difficult birth down in the hole lingeringly the grave digger puts on the forceps we have time to grow old the air is full of our cries but habit is a great deadener at me too someone is looking of me too someone is saying he is sleeping he knows nothing let him sleep on i cant go on what have i said",150
"1155","ESTRAGON","What's wrong with you?","whats wrong with you",4
"1156","VLADIMIR","Nothing.","nothing",1
"1157","ESTRAGON","I'm going.","im going",2
"1158","VLADIMIR","So am I.","so am i",3
"1159","ESTRAGON","Was I long asleep?","was i long asleep",4
"1160","VLADIMIR","I don't know.","i dont know",3
"1161","ESTRAGON","Where shall we go?","where shall we go",4
"1162","VLADIMIR","Not far.","not far",2
"1163","ESTRAGON","Oh yes, let's go far away from here.","oh yes lets go far away from here",8
"1164","VLADIMIR","We can't.","we cant",2
"1165","ESTRAGON","Why not?","why not",2
"1166","VLADIMIR","We have to come back tomorrow.","we have to come back tomorrow",6
"1167","ESTRAGON","What for?","what for",2
"1168","VLADIMIR","To wait for Godot.","to wait for godot",4
"1169","ESTRAGON","Ah! He didn't come?","ah he didnt come",4
"1170","VLADIMIR","No.","no",1
"1171","ESTRAGON","And now it's too late.","and now its too late",5
"1172","VLADIMIR","Yes, now it's night.","yes now its night",4
"1173","ESTRAGON","And if we dropped him? If we dropped him?","and if we dropped him if we dropped him",9
"1174","VLADIMIR","He'd punish us. Everything's dead but the tree.","hed punish us everythings dead but the tree",8
"1175","ESTRAGON","What is it?","what is it",3
"1176","VLADIMIR","It's the tree.","its the tree",3
"1177","ESTRAGON","Yes, but what kind?","yes but what kind",4
"1178","VLADIMIR","I don't know. A willow.","i dont know a willow",5
"1179","ESTRAGON","Why don't we hang ourselves?","why dont we hang ourselves",5
"1180","VLADIMIR","With what?","with what",2
"1181","ESTRAGON","You haven't got a bit of rope?","you havent got a bit of rope",7
"1182","VLADIMIR","No.","no",1
"1183","ESTRAGON","Then we can't.","then we cant",3
"1184","VLADIMIR","Let's go.","lets go",2
"1185","ESTRAGON","Wait, there's my belt.","wait theres my belt",4
"1186","VLADIMIR","It's too short.","its too short",3
"1187","ESTRAGON","You could hang onto my legs.","you could hang onto my legs",6
"1188","VLADIMIR","And who'd hang onto mine?","and whod hang onto mine",5
